date,heart_rate_mean,heart_rate_min,heart_rate_max,heart_rate_std,hrv_mean,hrv_min,hrv_max,hrv_std,steps_sum,steps_max,resting_hr_mean,vo2max_mean,respiratory_rate_mean,respiratory_rate_min,respiratory_rate_max,spo2_percent_mean,spo2_percent_min,active_energy_cal_sum,basal_energy_cal_sum,distance_walk_run_m_sum,flights_sum,exercise_minutes_sum,stand_minutes_sum,sleeping_wrist_temp_degF_mean,sleep_minutes_sum
2018-04-06,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3172.0,610.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.04,623.48,1.262794122,40.0,40.0,80.0,96.2188,0.6666666666666641
2018-04-07,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3423.0,243.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.418,670.241,1.30646399,43.0,43.0,86.0,96.2188,0.7166666666666638
2018-04-08,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3329.0,398.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.536,561.132,1.20323656,36.0,36.0,72.0,96.2188,0.5999999999999976
2018-04-09,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4280.0,439.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.552,810.524,1.576798436,52.0,52.0,104.0,96.2188,0.8666666666666633
2018-04-10,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2936.0,191.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.418,670.241,1.11766056,43.0,43.0,86.0,96.2188,0.7166666666666638
2018-04-11,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5366.0,338.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.434,919.633,1.956753045,59.0,59.0,118.0,96.2188,0.9833333333333294
2018-04-12,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,7232.0,387.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,8.82,1091.09,2.572383911,70.0,70.0,140.0,96.2188,1.166666666666662
2018-04-13,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6359.0,584.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,2.3080652,86.0,62.0,124.0,96.2188,1.0333333333333292
2018-04-14,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2625.0,461.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.41,545.545,0.9530096100000001,39.0,35.0,70.0,96.2188,0.583333333333331
2018-04-15,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4616.0,603.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,5.166,639.067,1.72668818,41.0,41.0,82.0,96.2188,0.6833333333333306
2018-04-16,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,8728.0,396.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,9.198,1137.8509999999999,3.2804191499999997,73.0,73.0,146.0,96.2188,1.216666666666662
2018-04-17,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,7870.0,442.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,8.316,1028.742,3.0353780599999998,66.0,66.0,132.0,96.2188,1.0999999999999956
2018-04-18,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3997.0,355.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.796,717.002,1.43919544,46.0,46.0,92.0,96.2188,0.7666666666666636
2018-04-19,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6553.0,342.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,2.516794698,62.0,62.0,124.0,96.2188,1.0333333333333292
2018-04-20,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4907.0,363.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.434,919.633,1.83695253,59.0,59.0,118.0,96.2188,0.9833333333333294
2018-04-21,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3035.0,351.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.174,763.763,1.0356084204,49.0,49.0,98.0,96.2188,0.8166666666666634
2018-04-22,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5753.0,444.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,2.159315578,62.0,62.0,124.0,96.2188,1.0333333333333292
2018-04-23,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4282.0,399.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.426,794.937,1.57844408,51.0,51.0,102.0,96.2188,0.8499999999999966
2018-04-24,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5870.0,446.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.922,732.5889999999999,2.421123009,47.0,47.0,94.0,96.2188,0.7833333333333302
2018-04-25,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5422.0,415.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.3,779.35,2.235655616,50.0,50.0,100.0,96.21880000000002,0.83333333333333
2018-04-26,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6348.0,378.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.938,981.981,2.207011918,63.0,63.0,126.0,96.2188,1.0499999999999958
2018-04-27,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3091.0,298.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.662,576.7189999999999,1.146652426,65.0,37.0,74.0,96.2188,0.6166666666666643
2018-04-28,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6025.0,456.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.812,966.394,2.109909664,62.0,62.0,124.0,96.2188,1.0333333333333292
